"orden_data01";"orden_oxido";"atomic_number";"name";"symbol";"valence";"roman";"chem_form01";"chem_form02";"nomen_01_tradicional";"nomen_02_stock";"nomen_03_sistematica";"chem_form03";"web_selector"
200;200;108;"Hassio";"Hs";6;"VI";"Hs1O3";"HsO_{3}";"Óxido Hássico";"Óxido de Hassio (VI)";"TriÓxido de MonoHassio";"2Hs + O_{2} \rightarrow 2HsO_{3}";"108 - Hs - Hassio"
201;201;108;"Hassio";"Hs";7;"VII";"Hs2O7";"Hs_{2}O_{7}";"Óxido PerHássico";"Óxido de Hassio (VII)";"HeptaÓxido de DiHassio";"2Hs + O_{2} \rightarrow Hs_{2}O_{7}";"108 - Hs - Hassio"
202;202;109;"Meitnerius";"Mt";2;"II";"Mt1O1";"MtO";"Óxido HipoMeintnerioso";"Óxido de Meitnerius (II)";"MonÓxido de MonoMeitnerius";"2Mt + O_{2} \rightarrow 2MtO";"109 - Mt - Meitnerius"
203;203;109;"Meitnerius";"Mt";3;"III";"Mt2O3";"Mt_{2}O_{3}";"Óxido Meintnerioso";"Óxido de Meitnerius (III)";"TriÓxido de DiMeitnerius";"2Mt + O_{2} \rightarrow Mt_{2}O_{3}";"109 - Mt - Meitnerius"
204;204;109;"Meitnerius";"Mt";4;"IV";"Mt1O2";"MtO_{2}";"Óxido Meintnérico";"Óxido de Meitnerius (IV)";"DiÓxido de MonoMeitnerius";"2Mt + O_{2} \rightarrow 2MtO_{2}";"109 - Mt - Meitnerius"
205;205;109;"Meitnerius";"Mt";6;"VI";"Mt1O3";"MtO_{3}";"Óxido PerMeintnérico";"Óxido de Meitnerius (VI)";"TriÓxido de MonoMeitnerius";"2Mt + O_{2} \rightarrow 2MtO_{3}";"109 - Mt - Meitnerius"
206;206;110;"Darmstatio";"Ds";2;"II";"Ds1O1";"DsO";"Óxido Darmstatioso";"Óxido de Darmstatio (II)";"MonÓxido de MonoDarmstatio";"2Ds + O_{2} \rightarrow 2DsO";"110 - Ds - Darmstatio"
207;207;110;"Darmstatio";"Ds";4;"IV";"Ds1O2";"DsO_{2}";"Óxido Darmstático";"Óxido de Darmstatio (IV)";"DiÓxido de MonoDarmstatio";"2Ds + O_{2} \rightarrow 2DsO_{2}";"110 - Ds - Darmstatio"
208;208;111;"Roentgenio";"Rg";2;"II";"Rg1O1";"RgO";"Óxido Roentgenioso";"Óxido de Roentgenio (II)";"MonÓxido de MonoRoentgenio";"2Rg + O_{2} \rightarrow 2RgO";"111 - Rg - Roentgenio"
209;209;111;"Roentgenio";"Rg";3;"III";"Rg2O3";"Rg_{2}O_{3}";"Óxido Roentgéncio";"Óxido de Roentgenio (III)";"TriÓxido de DiRoentgenio";"2Rg + O_{2} \rightarrow Rg_{2}O_{3}";"111 - Rg - Roentgenio"
210;210;112;"Copérnico";"Cn";1;"I";"Cn2O1";"Cn_{2}O";"Óxido Copernicoso";"Óxido de Copérnico (I)";"MonÓxido de DiCopérnico";"2Cn + O_{2} \rightarrow Cn_{2}O";"112 - Cn - Copérnico"
211;211;112;"Copérnico";"Cn";2;"II";"Cn1O1";"CnO";"Óxido Copernícico";"Óxido de Copérnico (II)";"MonÓxido de MonoCopérnico";"2Cn + O_{2} \rightarrow 2CnO";"112 - Cn - Copérnico"
212;212;113;"Nihonio";"Nh";3;"III";"Nh2O3";"Nh_{2}O_{3}";"Óxido de Nihonio";"Óxido de Nihonio (III)";"TriÓxido de DiNihonio";"2Nh + O_{2} \rightarrow Nh_{2}O_{3}";"113 - Nh - Nihonio"
213;213;114;"Flerovio";"Fl";2;"II";"Fl1O1";"FlO";"Óxido HipoFlerovioso";"Óxido de Flerovio (II)";"MonÓxido de MonoFlerovio";"2Fl + O_{2} \rightarrow 2FlO";"114 - Fl - Flerovio"
214;214;114;"Flerovio";"Fl";4;"IV";"Fl1O2";"FlO_{2}";"Óxido Flerovioso";"Óxido de Flerovio (IV)";"DiÓxido de MonoFlerovio";"2Fl + O_{2} \rightarrow 2FlO_{2}";"114 - Fl - Flerovio"
215;215;114;"Flerovio";"Fl";5;"V";"Fl2O5";"Fl_{2}O_{5}";"Óxido Flerívico";"Óxido de Flerovio (V)";"PentaÓxido de DiFlerovio";"2Fl + O_{2} \rightarrow Fl_{2}O_{5}";"114 - Fl - Flerovio"
216;216;115;"Moscovio";"Mc";1;"I";"Mc2O1";"Mc_{2}O";"Óxido HipoMoscovioso";"Óxido de Moscovio (I)";"MonÓxido de DiMoscovio";"2Mc + O_{2} \rightarrow Mc_{2}O";"115 - Mc - Moscovio"
217;217;115;"Moscovio";"Mc";4;"IV";"Mc1O2";"McO_{2}";"Óxido Moscovioso";"Óxido de Moscovio (IV)";"DiÓxido de MonoMoscovio";"2Mc + O_{2} \rightarrow 2McO_{2}";"115 - Mc - Moscovio"
218;218;115;"Moscovio";"Mc";5;"V";"Mc2O5";"Mc_{2}O_{5}";"Óxido Moscóvico";"Óxido de Moscovio (V)";"PentaÓxido de DiMoscovio";"2Mc + O_{2} \rightarrow Mc_{2}O_{5}";"115 - Mc - Moscovio"
219;219;116;"Livermorio";"Lv";3;"III";"Lv2O3";"Lv_{2}O_{3}";"Óxido HipoLivermorioso";"Óxido de Livermorio (III)";"TriÓxido de DiLivermorio";"2Lv + O_{2} \rightarrow Lv_{2}O_{3}";"116 - Lv - Livermorio"
220;220;116;"Livermorio";"Lv";4;"IV";"Lv1O2";"LvO_{2}";"Óxido Livermorioso";"Óxido de Livermorio (IV)";"DiÓxido de MonoLivermorio";"2Lv + O_{2} \rightarrow 2LvO_{2}";"116 - Lv - Livermorio"
221;221;116;"Livermorio";"Lv";5;"V";"Lv2O5";"Lv_{2}O_{5}";"Óxido Livérmico";"Óxido de Livermorio (V)";"PentaÓxido de DiLivermorio";"2Lv + O_{2} \rightarrow Lv_{2}O_{5}";"116 - Lv - Livermorio"
222;222;117;"Teneso";"Ts";1;"I";"Ts2O1";"Ts_{2}O";"Óxido HipoTenoso";"Óxido de Teneso (I)";"MonÓxido de DiTeneso";"2Ts + O_{2} \rightarrow Ts_{2}O";"117 - Ts - Teneso"
223;223;117;"Teneso";"Ts";2;"II";"Ts1O1";"TsO";"Óxido Tenoso";"Óxido de Teneso (II)";"MonÓxido de MonoTeneso";"2Ts + O_{2} \rightarrow 2TsO";"117 - Ts - Teneso"
224;224;117;"Teneso";"Ts";3;"III";"Ts2O3";"Ts_{2}O_{3}";"Óxido Tenésico";"Óxido de Teneso (III)";"TriÓxido de DiTeneso";"2Ts + O_{2} \rightarrow Ts_{2}O_{3}";"117 - Ts - Teneso"
225;225;118;"Oganesón";"Og";4;"IV";"Og1O2";"OgO_{2}";"Óxido Oganesoso";"Óxido de Oganesón (IV)";"DiÓxido de MonoOganesón";"2Og + O_{2} \rightarrow 2OgO_{2}";"118 - Og - Oganesón"
226;226;118;"Oganesón";"Og";7;"VII";"Og2O7";"Og_{2}O_{7}";"Óxido Oganésico";"Óxido de Oganesón (VII)";"HeptaÓxido de DiOganesón";"2Og + O_{2} \rightarrow Og_{2}O_{7}";"118 - Og - Oganesón"
