"orden_data01";"orden_oxido";"atomic_number";"name";"symbol";"valence";"roman";"chem_form01";"chem_form02";"nomen_01_tradicional";"nomen_02_stock";"nomen_03_sistematica";"chem_form03";"web_selector"
118;118;71;"Lutecio";"Lu";3;"III";"Lu2O3";"Lu_{2}O_{3}";"Óxido de Lutecio";"Óxido de Lutecio (III)";"TriÓxido de DiLutecio";"2Lu + O_{2} \rightarrow Lu_{2}O_{3}";"71 - Lu - Lutecio"
119;119;72;"Hafnio";"Hf";4;"IV";"Hf1O2";"HfO_{2}";"Óxido de Hafnio";"Óxido de Hafnio (IV)";"DiÓxido de MonoHafnio";"2Hf + O_{2} \rightarrow 2HfO_{2}";"72 - Hf - Hafnio"
120;120;73;"Tantalio";"Ta";5;"V";"Ta2O5";"Ta_{2}O_{5}";"Óxido de Tantalio";"Óxido de Tantalio (V)";"PentaÓxido de DiTantalio";"2Ta + O_{2} \rightarrow Ta_{2}O_{5}";"73 - Ta - Tantalio"
121;121;74;"Tungsteno";"W";2;"II";"W1O1";"WO";"Óxido HipoTungstenoso";"Óxido de Tungsteno (II)";"MonÓxido de MonoTungsteno";"2W + O_{2} \rightarrow 2WO";"74 - W - Tungsteno"
122;122;74;"Tungsteno";"W";3;"III";"W2O3";"W_{2}O_{3}";"Óxido Tungstenoso";"Óxido de Tungsteno (III)";"TriÓxido de DiTungsteno";"2W + O_{2} \rightarrow W_{2}O_{3}";"74 - W - Tungsteno"
123;123;74;"Tungsteno";"W";4;"IV";"W1O2";"WO_{2}";"Óxido Tungsténico";"Óxido de Tungsteno (IV)";"DiÓxido de MonoTungsteno";"2W + O_{2} \rightarrow 2WO_{2}";"74 - W - Tungsteno"
124;124;74;"Tungsteno";"W";5;"V";"W2O5";"W_{2}O_{5}";"Óxido PerTungsténico";"Óxido de Tungsteno (V)";"PentaÓxido de DiTungsteno";"2W + O_{2} \rightarrow W_{2}O_{5}";"74 - W - Tungsteno"
125;125;74;"Tungsteno";"W";6;"VI";"W1O3";"WO_{3}";"Óxido ???Tungsténico???";"Óxido de Tungsteno (VI)";"TriÓxido de MonoTungsteno";"2W + O_{2} \rightarrow 2WO_{3}";"74 - W - Tungsteno"
126;126;75;"Renio";"Re";1;"I";"Re2O1";"Re_{2}O";"Óxido HipoRenioso";"Óxido de Renio (I)";"MonÓxido de DiRenio";"2Re + O_{2} \rightarrow Re_{2}O";"75 - Re - Renio"
127;127;75;"Renio";"Re";2;"II";"Re1O1";"ReO";"Óxido Renioso";"Óxido de Renio (II)";"MonÓxido de MonoRenio";"2Re + O_{2} \rightarrow 2ReO";"75 - Re - Renio"
