"orden_data01";"orden_hidroxido";"atomic_number";"name";"symbol";"valence";"roman";"chem_form01";"chem_form02";"nomen_01_tradicional";"nomen_02_stock";"nomen_03_sistematica";"chem_form03";"web_selector"
204;172;109;"Meitnerius";"Mt";4;"IV";"Mt1(OH)4";"Mt(OH)_{4}";"Hidróxido Meintnérico";"Hidŕoxido de Meitnerius (IV)";"TetraHidróxido de MonoMeitnerius";"MtO_{2} + 2H_{2}O \rightarrow Mt(OH)_{4}";"109 - Mt - Meitnerius"
205;173;109;"Meitnerius";"Mt";6;"VI";"Mt1(OH)6";"Mt(OH)_{6}";"Hidróxido PerMeintnérico";"Hidŕoxido de Meitnerius (VI)";"HexaHidróxido de MonoMeitnerius";"MtO_{3} + 3H_{2}O \rightarrow Mt(OH)_{6}";"109 - Mt - Meitnerius"
206;174;110;"Darmstatio";"Ds";2;"II";"Ds1(OH)2";"Ds(OH)_{2}";"Hidróxido Darmstatioso";"Hidŕoxido de Darmstatio (II)";"DiHidróxido de MonoDarmstatio";"DsO + H_{2}O \rightarrow Ds(OH)_{2}";"110 - Ds - Darmstatio"
207;175;110;"Darmstatio";"Ds";4;"IV";"Ds1(OH)4";"Ds(OH)_{4}";"Hidróxido Darmstático";"Hidŕoxido de Darmstatio (IV)";"TetraHidróxido de MonoDarmstatio";"DsO_{2} + 2H_{2}O \rightarrow Ds(OH)_{4}";"110 - Ds - Darmstatio"
208;176;111;"Roentgenio";"Rg";2;"II";"Rg1(OH)2";"Rg(OH)_{2}";"Hidróxido Roentgenioso";"Hidŕoxido de Roentgenio (II)";"DiHidróxido de MonoRoentgenio";"RgO + H_{2}O \rightarrow Rg(OH)_{2}";"111 - Rg - Roentgenio"
209;177;111;"Roentgenio";"Rg";3;"III";"Rg1(OH)3";"Rg(OH)_{3}";"Hidróxido Roentgéncio";"Hidŕoxido de Roentgenio (III)";"TriHidróxido de MonoRoentgenio";"Rg_{2}O_{3} + 3H_{2}O \rightarrow 2Rg(OH)_{3}";"111 - Rg - Roentgenio"
210;178;112;"Copérnico";"Cn";1;"I";"Cn1(OH)1";"Cn(OH)";"Hidróxido Copernicoso";"Hidŕoxido de Copérnico (I)";"MonHidróxido de MonoCopérnico";"Cn_{2}O + H_{2}O \rightarrow 2Cn(OH)";"112 - Cn - Copérnico"
211;179;112;"Copérnico";"Cn";2;"II";"Cn1(OH)2";"Cn(OH)_{2}";"Hidróxido Copernícico";"Hidŕoxido de Copérnico (II)";"DiHidróxido de MonoCopérnico";"CnO + H_{2}O \rightarrow Cn(OH)_{2}";"112 - Cn - Copérnico"
212;180;113;"Nihonio";"Nh";3;"III";"Nh1(OH)3";"Nh(OH)_{3}";"Hidróxido de Nihonio";"Hidŕoxido de Nihonio (III)";"TriHidróxido de MonoNihonio";"Nh_{2}O_{3} + 3H_{2}O \rightarrow 2Nh(OH)_{3}";"113 - Nh - Nihonio"
213;181;114;"Flerovio";"Fl";2;"II";"Fl1(OH)2";"Fl(OH)_{2}";"Hidróxido HipoFlerovioso";"Hidŕoxido de Flerovio (II)";"DiHidróxido de MonoFlerovio";"FlO + H_{2}O \rightarrow Fl(OH)_{2}";"114 - Fl - Flerovio"
214;182;114;"Flerovio";"Fl";4;"IV";"Fl1(OH)4";"Fl(OH)_{4}";"Hidróxido Flerovioso";"Hidŕoxido de Flerovio (IV)";"TetraHidróxido de MonoFlerovio";"FlO_{2} + 2H_{2}O \rightarrow Fl(OH)_{4}";"114 - Fl - Flerovio"
215;183;114;"Flerovio";"Fl";5;"V";"Fl1(OH)5";"Fl(OH)_{5}";"Hidróxido Flerívico";"Hidŕoxido de Flerovio (V)";"PentaHidróxido de MonoFlerovio";"Fl_{2}O_{5} + 5H_{2}O \rightarrow 2Fl(OH)_{5}";"114 - Fl - Flerovio"
216;184;115;"Moscovio";"Mc";1;"I";"Mc1(OH)1";"Mc(OH)";"Hidróxido HipoMoscovioso";"Hidŕoxido de Moscovio (I)";"MonHidróxido de MonoMoscovio";"Mc_{2}O + H_{2}O \rightarrow 2Mc(OH)";"115 - Mc - Moscovio"
217;185;115;"Moscovio";"Mc";4;"IV";"Mc1(OH)4";"Mc(OH)_{4}";"Hidróxido Moscovioso";"Hidŕoxido de Moscovio (IV)";"TetraHidróxido de MonoMoscovio";"McO_{2} + 2H_{2}O \rightarrow Mc(OH)_{4}";"115 - Mc - Moscovio"
218;186;115;"Moscovio";"Mc";5;"V";"Mc1(OH)5";"Mc(OH)_{5}";"Hidróxido Moscóvico";"Hidŕoxido de Moscovio (V)";"PentaHidróxido de MonoMoscovio";"Mc_{2}O_{5} + 5H_{2}O \rightarrow 2Mc(OH)_{5}";"115 - Mc - Moscovio"
219;187;116;"Livermorio";"Lv";3;"III";"Lv1(OH)3";"Lv(OH)_{3}";"Hidróxido HipoLivermorioso";"Hidŕoxido de Livermorio (III)";"TriHidróxido de MonoLivermorio";"Lv_{2}O_{3} + 3H_{2}O \rightarrow 2Lv(OH)_{3}";"116 - Lv - Livermorio"
220;188;116;"Livermorio";"Lv";4;"IV";"Lv1(OH)4";"Lv(OH)_{4}";"Hidróxido Livermorioso";"Hidŕoxido de Livermorio (IV)";"TetraHidróxido de MonoLivermorio";"LvO_{2} + 2H_{2}O \rightarrow Lv(OH)_{4}";"116 - Lv - Livermorio"
221;189;116;"Livermorio";"Lv";5;"V";"Lv1(OH)5";"Lv(OH)_{5}";"Hidróxido Livérmico";"Hidŕoxido de Livermorio (V)";"PentaHidróxido de MonoLivermorio";"Lv_{2}O_{5} + 5H_{2}O \rightarrow 2Lv(OH)_{5}";"116 - Lv - Livermorio"
222;190;117;"Teneso";"Ts";1;"I";"Ts1(OH)1";"Ts(OH)";"Hidróxido HipoTenoso";"Hidŕoxido de Teneso (I)";"MonHidróxido de MonoTeneso";"Ts_{2}O + H_{2}O \rightarrow 2Ts(OH)";"117 - Ts - Teneso"
223;191;117;"Teneso";"Ts";2;"II";"Ts1(OH)2";"Ts(OH)_{2}";"Hidróxido Tenoso";"Hidŕoxido de Teneso (II)";"DiHidróxido de MonoTeneso";"TsO + H_{2}O \rightarrow Ts(OH)_{2}";"117 - Ts - Teneso"
224;192;117;"Teneso";"Ts";3;"III";"Ts1(OH)3";"Ts(OH)_{3}";"Hidróxido Tenésico";"Hidŕoxido de Teneso (III)";"TriHidróxido de MonoTeneso";"Ts_{2}O_{3} + 3H_{2}O \rightarrow 2Ts(OH)_{3}";"117 - Ts - Teneso"
225;193;118;"Oganesón";"Og";4;"IV";"Og1(OH)4";"Og(OH)_{4}";"Hidróxido Oganesoso";"Hidŕoxido de Oganesón (IV)";"TetraHidróxido de MonoOganesón";"OgO_{2} + 2H_{2}O \rightarrow Og(OH)_{4}";"118 - Og - Oganesón"
226;194;118;"Oganesón";"Og";7;"VII";"Og1(OH)7";"Og(OH)_{7}";"Hidróxido Oganésico";"Hidŕoxido de Oganesón (VII)";"HeptaHidróxido de MonoOganesón";"Og_{2}O_{7} + 7H_{2}O \rightarrow 2Og(OH)_{7}";"118 - Og - Oganesón"
