"orden_data01";"orden_hidroxido";"atomic_number";"name";"symbol";"valence";"roman";"chem_form01";"chem_form02";"nomen_01_tradicional";"nomen_02_stock";"nomen_03_sistematica";"chem_form03";"web_selector"
137;109;77;"Iridio";"Ir";3;"III";"Ir1(OH)3";"Ir(OH)_{3}";"Hidróxido Iridioso";"Hidŕoxido de Iridio (III)";"TriHidróxido de MonoIridio";"Ir_{2}O_{3} + 3H_{2}O \rightarrow 2Ir(OH)_{3}";"77 - Ir - Iridio"
138;110;77;"Iridio";"Ir";4;"IV";"Ir1(OH)4";"Ir(OH)_{4}";"Hidróxido Irídico";"Hidŕoxido de Iridio (IV)";"TetraHidróxido de MonoIridio";"IrO_{2} + 2H_{2}O \rightarrow Ir(OH)_{4}";"77 - Ir - Iridio"
139;111;77;"Iridio";"Ir";6;"VI";"Ir1(OH)6";"Ir(OH)_{6}";"Hidróxido PerIrídico";"Hidŕoxido de Iridio (VI)";"HexaHidróxido de MonoIridio";"IrO_{3} + 3H_{2}O \rightarrow Ir(OH)_{6}";"77 - Ir - Iridio"
140;112;78;"Platino";"Pt";2;"II";"Pt1(OH)2";"Pt(OH)_{2}";"Hidróxido Platinoso";"Hidŕoxido de Platino (II)";"DiHidróxido de MonoPlatino";"PtO + H_{2}O \rightarrow Pt(OH)_{2}";"78 - Pt - Platino"
141;113;78;"Platino";"Pt";4;"IV";"Pt1(OH)4";"Pt(OH)_{4}";"Hidróxido Platítico";"Hidŕoxido de Platino (IV)";"TetraHidróxido de MonoPlatino";"PtO_{2} + 2H_{2}O \rightarrow Pt(OH)_{4}";"78 - Pt - Platino"
142;114;79;"Oro";"Au";1;"I";"Au1(OH)1";"Au(OH)";"Hidróxido Auroso";"Hidŕoxido de Oro (I)";"MonHidróxido de MonoOro";"Au_{2}O + H_{2}O \rightarrow 2Au(OH)";"79 - Au - Oro"
143;115;79;"Oro";"Au";3;"III";"Au1(OH)3";"Au(OH)_{3}";"Hidróxido Áurico";"Hidŕoxido de Oro (III)";"TriHidróxido de MonoOro";"Au_{2}O_{3} + 3H_{2}O \rightarrow 2Au(OH)_{3}";"79 - Au - Oro"
144;116;80;"Mercurio";"Hg";1;"I";"Hg1(OH)1";"Hg(OH)";"Hidróxido Mercuroso";"Hidŕoxido de Mercurio (I)";"MonHidróxido de MonoMercurio";"Hg_{2}O + H_{2}O \rightarrow 2Hg(OH)";"80 - Hg - Mercurio"
145;117;80;"Mercurio";"Hg";2;"II";"Hg1(OH)2";"Hg(OH)_{2}";"Hidróxido Mercúrico";"Hidŕoxido de Mercurio (II)";"DiHidróxido de MonoMercurio";"HgO + H_{2}O \rightarrow Hg(OH)_{2}";"80 - Hg - Mercurio"
146;118;81;"Talio";"Tl";1;"I";"Tl1(OH)1";"Tl(OH)";"Hidróxido Taloso";"Hidŕoxido de Talio (I)";"MonHidróxido de MonoTalio";"Tl_{2}O + H_{2}O \rightarrow 2Tl(OH)";"81 - Tl - Talio"
147;119;81;"Talio";"Tl";3;"III";"Tl1(OH)3";"Tl(OH)_{3}";"Hidróxido Tálico";"Hidŕoxido de Talio (III)";"TriHidróxido de MonoTalio";"Tl_{2}O_{3} + 3H_{2}O \rightarrow 2Tl(OH)_{3}";"81 - Tl - Talio"
148;120;82;"Plomo";"Pb";2;"II";"Pb1(OH)2";"Pb(OH)_{2}";"Hidróxido Plumboso";"Hidŕoxido de Plomo (II)";"DiHidróxido de MonoPlomo";"PbO + H_{2}O \rightarrow Pb(OH)_{2}";"82 - Pb - Plomo"
149;121;82;"Plomo";"Pb";4;"IV";"Pb1(OH)4";"Pb(OH)_{4}";"Hidróxido Plúmbico";"Hidŕoxido de Plomo (IV)";"TetraHidróxido de MonoPlomo";"PbO_{2} + 2H_{2}O \rightarrow Pb(OH)_{4}";"82 - Pb - Plomo"
